SL.no.,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
36,s,u_s,0.0289,0.0731,0.0648,0,88.02
37,e,s_e,0.0701,0.135,0.0556,0,88.02
38,r,e_r,0.0723,0.128,0.0767,0,88.02
39,<space>,r_<space>,0.1008,0.0285,0.0733,1,88.02
40,1,<space>_1,0.0775,0.1508,0.0761,0,88.02
41,<space>,1_<space>,0.1939,0.27,0.0948,0,88.02
42,h,<space>_h,0.0858,0.1806,0.0581,0,88.02
43,e,h_e,0.0201,0.0782,0.0779,0,88.02
44,l,e_l,0.0345,0.1124,0.04,0,88.02
45,l,l_l,0.071,0.1109,0.0591,0,88.02
46,o,l_o,0.0734,0.1325,0.0504,0,88.02
47,<space>,o_<space>,0.0276,0.078,0.0704,0,88.02
48,m,<space>_m,0.0236,0.094,0.0588,0,88.02
49,y,m_y,0.0573,0.1161,0.0713,0,88.02
50,<space>,y_<space>,0.1115,0.0542,0.0456,1,88.02
51,n,<space>_n,0.1019,0.1475,0.0272,0,88.02
52,a,n_a,0.0445,0.0717,0.0858,0,88.02
53,m,a_m,0.1012,0.0567,0.0636,1,88.02
54,e,m_e,0.0579,0.1215,0.0719,0,88.02
55,<space>,e_<space>,0.0899,0.032,0.042,1,88.02
56,i,<space>_i,0.139,0.181,0.0375,0,88.02
57,s,i_s,0.062,0.0995,0.0937,0,88.02
58,<space>,s_<space>,0.1497,0.0877,0.0545,1,88.02
59,k,<space>_k,0.1522,0.2067,0.0595,0,88.02
60,i,k_i,0.1162,0.1758,0.0573,0,88.02
61,s,i_s,0.0391,0.0964,0.0947,0,88.02
62,h,s_h,0.1152,0.0762,0.0623,1,88.02
63,i,h_i,0.0828,0.1452,0.0579,0,88.02
64,<space>,i_<space>,0.1204,0.1783,0.05,0,88.02
65,r,<space>_r,0.0697,0.1197,0.0883,0,88.02
66,u,r_u,0.1496,0.0799,0.052,1,88.02
67,m,u_m,0.1282,0.1801,0.0654,0,88.02
68,a,m_a,0.0208,0.0862,0.0776,0,88.02
69,r,a_r,0.1314,0.209,0.0651,0,88.02
70,<space>,r_<space>,0.2086,0.2736,0.1075,0,88.02
71,i,<space>_i,0.0213,0.1289,0.04,0,88.02
72,<space>,i_<space>,0.1187,0.1587,0.051,0,88.02
73,a,<space>_a,0.0439,0.0949,0.0821,0,88.02
74,m,a_m,0.0976,0.0537,0.0553,1,88.02
75,<space>,m_<space>,0.0882,0.1435,0.0505,0,88.02
76,u,<space>_u,0.1144,0.1649,0.0531,0,88.02
77,s,u_s,0.0194,0.0725,0.0578,0,88.02
78,e,s_e,0.0802,0.1379,0.0682,0,88.02
79,r,e_r,0.0814,0.1495,0.0693,0,88.02
80,<space>,r_<space>,0.1197,0.1889,0.0777,0,88.02
81,1,<space>_1,0.0329,0.1106,0.0628,0,88.02
82,<space>,1_<space>,0.2208,0.2836,0.0985,0,88.02
83,a,<space>_a,0.1805,0.279,0.0899,0,88.02
84,m,a_m,0.0181,0.1081,0.0704,0,88.02
85,p,m_p,0.1294,0.1998,0.0392,0,88.02
86,<backspace>,p_<backspace>,0.1199,0.1591,0.0494,0,88.02
87,<backspace>,<backspace>_<backspace>,0.0496,0.0989,0.0605,0,88.02
88,p,<backspace>_p,0.0877,0.1481,0.0493,0,88.02
89,p,p_p,0.0754,0.1247,0.0577,0,88.02
90,l,p_l,0.1792,0.2369,0.0747,0,88.02
91,e,l_e,0.1483,0.2231,0.0858,0,88.02
92,<space>,e_<space>,0.1796,0.0312,0.1008,1,88.02
93,t,<space>_t,0.0773,0.1781,0.0649,0,88.02
94,o,t_o,0.0095,0.0744,0.0172,0,88.02
95,m,o_m,0.1211,0.1383,0.0638,0,88.02
96,a,m_a,0.1631,0.042,0.0697,1,88.02
97,t,a_t,0.0911,0.1608,0.0586,0,88.02
98,e,t_e,0.1013,0.1599,0.0747,0,88.02
99,<space>,e_<space>,0.7462,0.821,0.0748,0,88.02
100,w,<space>_w,0.6415,0.7163,0.0702,0,88.02
101,a,w_a,0.0699,0.1401,0.0632,0,88.02
102,t,a_t,0.0713,0.1345,0.0509,0,88.02
103,e,t_e,0.106,0.1568,0.0603,0,88.02
104,r,e_r,0.074,0.1344,0.0653,0,88.02
105,<space>,r_<space>,0.1363,0.0622,0.0511,1,88.02
106,b,<space>_b,0.1244,0.1756,0.0641,0,88.02
107,o,b_o,0.1137,0.1777,0.0538,0,88.02
108,t,o_t,0.1603,0.0466,0.0549,1,88.02
109,t,t_t,0.067,0.1218,0.084,0,88.02
110,l,t_l,0.1344,0.0674,0.064,1,88.02
111,e,l_e,0.0662,0.1302,0.0877,0,88.02
112,<space>,e_<space>,0.0218,0.1095,0.1001,0,88.02
113,f,<space>_f,0.13,0.2301,0.0735,0,88.02
114,u,f_u,0.1401,0.2136,0.0572,0,88.02
115,c,u_c,0.0335,0.0908,0.0904,0,88.02
116,k,c_k,0.0076,0.0979,0.0274,0,88.02
117,<space>,k_<space>,0.0885,0.116,0.0582,0,88.02
118,m,<space>_m,0.0823,0.1405,0.0733,0,88.02
119,y,m_y,0.0281,0.1015,0.0638,0,88.02
120,<space>,y_<space>,0.0882,0.0601,0.0591,1,88.02
121,a,<space>_a,0.1072,0.1664,0.1081,0,88.02
122,s,a_s,0.184,0.0767,0.0618,1,88.02
123,s,s_s,0.0736,0.1354,0.0832,0,88.02
124,<space>,s_<space>,0.1329,0.2161,0.0879,0,88.02
125,a,<space>_a,0.1615,0.2493,0.0997,0,88.02
126,n,a_n,0.2542,0.0928,0.0559,1,88.02
127,d,n_d,0.0502,0.1061,0.0789,0,88.02
128,<space>,d_<space>,0.124,0.0739,0.0529,1,88.02
129,t,<space>_t,0.0749,0.1277,0.0575,0,88.02
130,r,t_r,0.0722,0.1298,0.0729,0,88.02
131,a,r_a,0.0991,0.172,0.09,0,88.02
132,n,a_n,0.1804,0.0814,0.0668,1,88.02
133,s,n_s,0.0307,0.0975,0.0855,0,88.02
134,p,s_p,0.0292,0.1147,0.053,0,88.02
135,o,p_o,0.0611,0.1141,0.0784,0,88.02
136,r,o_r,0.1319,0.0708,0.0702,1,88.02
137,t,r_t,0.0726,0.1428,0.0687,0,88.02
138,<space>,t_<space>,0.0202,0.0889,0.0478,0,88.02
139,i,<space>_i,0.1604,0.2083,0.0501,0,88.02
140,n,i_n,0.0899,0.14,0.0729,0,88.02
141,t,n_t,0.0553,0.1282,0.0674,0,88.02
142,o,t_o,0.0185,0.0859,0.0437,0,88.02
143,<space>,o_<space>,0.1221,0.1658,0.0457,0,88.02
144,a,<space>_a,0.0278,0.0735,0.0901,0,88.02
145,<space>,a_<space>,0.1103,0.0825,0.0702,1,88.02
146,s,<space>_s,0.0456,0.1158,0.1028,0,88.02
147,h,s_h,0.127,0.0814,0.0521,1,88.02
148,u,h_u,0.0749,0.1271,0.055,0,88.02
149,t,u_t,0.0088,0.0638,0.0552,0,88.02
150,i,START,0.0,0.0,0.001997947692871,1,108.91
151,<space>,i_<space>,0.1171991825103759,0.119197130203247,0.0610136985778808,0,108.91
152,a,<space>_a,0.0426459312438964,0.1036596298217773,0.0883195400238037,0,108.91
153,m,a_m,0.0998070240020752,0.0571610927581787,0.0522732734680175,1,108.91
154,<space>,m_<space>,0.0637273788452148,0.1160006523132324,0.0544197559356689,0,108.91
155,u,<space>_u,0.1015331745147705,0.1559529304504394,0.0523390769958496,0,108.91
156,s,u_s,0.0018243789672851,0.0541634559631347,0.0607411861419677,0,108.91
157,e,s_e,0.0750102996826171,0.1357514858245849,0.0458884239196777,0,108.91
158,r,e_r,0.0817387104034423,0.1276271343231201,0.0577733516693115,0,108.91
159,<space>,r_<space>,0.0009994506835937,0.0587728023529052,0.0517599582672119,0,108.91
160,1,<space>_1,0.0556721687316894,0.1074321269989013,0.0906991958618164,0,108.91
161,<space>,1_<space>,0.1031069755554199,0.1938061714172363,0.0871193408966064,0,108.91
162,c,<space>_c,0.1465938091278076,0.233713150024414,0.0735108852386474,0,108.91
163,a,c_a,0.0708246231079101,0.1443355083465576,0.0888516902923584,0,108.91
164,n,a_n,0.1074717044830322,0.036647081375122,0.0552225112915039,1,108.91
165,<space>,n_<space>,0.0639290809631347,0.1191515922546386,0.0600254535675048,0,108.91
166,u,<space>_u,0.1001574993133544,0.1601829528808593,0.0498368740081787,0,108.91
167,<space>,u_<space>,0.0923423767089843,0.142179250717163,0.0465295314788818,0,108.91
168,p,<space>_p,0.1372172832489013,0.1837468147277832,0.0493161678314209,0,108.91
169,r,p_r,0.1699903011322021,0.0327730178833007,0.0647964477539062,1,108.91
170,e,r_e,0.0754342079162597,0.140230655670166,0.0575549602508544,0,108.91
171,d,e_d,0.078357458114624,0.1359124183654785,0.0697710514068603,0,108.91
172,i,d_i,0.0109784603118896,0.08074951171875,0.0514945983886718,0,108.91
173,c,i_c,0.0255284309387207,0.0770230293273925,0.0629880428314209,0,108.91
174,t,c_t,0.0948567390441894,0.1578447818756103,0.0555787086486816,0,108.91
175,<space>,t_<space>,0.1358649730682373,0.0410082340240478,0.0545566082000732,1,108.91
176,t,<space>_t,0.0450634956359863,0.0996201038360595,0.0697138309478759,0,108.91
177,h,t_h,0.0907602310180664,0.04569673538208,0.0591559410095214,1,108.91
178,a,h_a,0.0583195686340332,0.1174755096435546,0.0786809921264648,0,108.91
179,t,a_t,0.0744872093200683,0.1531682014465332,0.0710480213165283,0,108.91
180,<space>,t_<space>,0.0922267436981201,0.0177395343780517,0.0562291145324707,1,108.91
181,i,<space>_i,0.1067473888397216,0.1629765033721923,0.0437982082366943,0,108.91
182,t,i_t,0.0100812911987304,0.0538794994354248,0.0605788230895996,0,108.91
183,<space>,s_<space>,0.1300601959228515,0.0395448207855224,0.0452666282653808,1,108.91
184,s,t_s,0.0905153751373291,0.1510941982269287,0.1092782020568847,0,108.91
185,m,<space>_m,0.0660719871520996,0.1358053684234619,0.0624527931213378,0,108.91
186,e,m_e,0.0030844211578369,0.0655372142791748,0.0583031177520751,0,108.91
187,h,START,0.0,0.0,0.0093235969543457,1,87.63
188,e,h_e,0.0199573040008544,0.0292809009552001,0.0886855125427246,0,87.63
189,l,e_l,0.0996723175048828,0.1883578300476074,0.0486881732940673,0,87.63
190,l,l_l,0.0773220062255859,0.1260101795196533,0.0759375095367431,0,87.63
191,o,l_o,0.1188416481018066,0.1947791576385498,0.0572326183319091,0,87.63
192,<space>,o_<space>,0.0460977554321289,0.103330373764038,0.0734577178955078,0,87.63
193,m,<space>_m,0.0521464347839355,0.1256041526794433,0.0557625293731689,0,87.63
194,<space>,y_<space>,0.1338849067687988,0.0121803283691406,0.0540888309478759,1,87.63
195,y,m_y,0.1217045783996582,0.1774671077728271,0.0731875896453857,0,87.63
196,n,<space>_n,0.1138923168182373,0.1748995780944824,0.042893648147583,0,87.63
197,a,n_a,0.0672187805175781,0.1101124286651611,0.0830051898956298,0,87.63
198,m,a_m,0.1161656379699707,0.0489468574523925,0.0504794120788574,1,87.63
199,e,m_e,0.1774351596832275,0.2279145717620849,0.0829925537109375,0,87.63
200,<space>,e_<space>,0.0109214782714843,0.0939140319824218,0.070063829421997,0,87.63
201,i,<space>_i,0.1447806358337402,0.2148444652557373,0.0391697883605957,0,87.63
202,s,i_s,0.0419557094573974,0.0811254978179931,0.090261697769165,0,87.63
203,<space>,s_<space>,0.0143241882324218,0.1045858860015869,0.0705692768096923,0,87.63
204,u,<space>_u,0.1597421169281005,0.2303113937377929,0.055901288986206,0,87.63
205,s,u_s,0.0419104099273681,0.0978116989135742,0.0736792087554931,0,87.63
206,e,s_e,0.0798256397247314,0.1535048484802246,0.0798621177673339,0,87.63
207,r,e_r,0.0731892585754394,0.1530513763427734,0.079275369644165,0,87.63
208,<space>,r_<space>,0.1267898082733154,0.0536005496978759,0.0658121109008789,1,87.63
209,1,<space>_1,0.074045181274414,0.1398572921752929,0.0765845775604248,0,87.63
210,<space>,1_<space>,0.1434900760650634,0.2200746536254882,0.0911452770233154,0,87.63
211,c,<space>_c,0.2010245323181152,0.2921698093414306,0.0660846233367919,0,87.63
212,n,a_n,0.1170985698699951,0.0378384590148925,0.0518944263458251,1,87.63
213,a,c_a,0.0792601108551025,0.1453447341918945,0.0938277244567871,0,87.63
214,<space>,n_<space>,0.0619325637817382,0.1179218292236328,0.0638749599456787,0,87.63
215,y,<space>_y,0.1442928314208984,0.2081677913665771,0.0608217716217041,0,87.63
216,o,y_o,0.1117186546325683,0.1725404262542724,0.0443501472473144,0,87.63
217,u,o_u,0.0769734382629394,0.1213235855102539,0.0419549942016601,0,87.63
218,<space>,u_<space>,0.0244350433349609,0.0663900375366211,0.082975149154663,0,87.63
219,p,<space>_p,0.0738842487335205,0.1568593978881836,0.0469121932983398,0,87.63
220,r,p_r,0.0371983051300048,0.0841104984283447,0.0591282844543457,0,87.63
221,e,r_e,0.0660512447357177,0.1251795291900634,0.0554592609405517,0,87.63
222,d,e_d,0.0709147453308105,0.1263740062713623,0.0660986900329589,0,87.63
223,i,d_i,0.0050008296966552,0.0710995197296142,0.0642049312591552,0,87.63
224,c,i_c,0.0105938911437988,0.0747988224029541,0.0950527191162109,0,87.63
225,t,c_t,0.1000897884368896,0.1951425075531005,0.0741605758666992,0,87.63
226,<space>,t_<space>,0.1353516578674316,0.0352618694305419,0.0630707740783691,1,87.63
227,c,<space>_c,0.0979259014129638,0.160996675491333,0.0911095142364502,0,87.63
228,o,c_o,0.1790478229522705,0.0811219215393066,0.0431077480316162,1,87.63
229,r,o_r,0.0755643844604492,0.1186721324920654,0.058129072189331,0,87.63
230,r,r_r,0.0789337158203125,0.1370627880096435,0.0835249423980712,0,87.63
231,e,r_e,0.0541551113128662,0.1376800537109375,0.0639002323150634,0,87.63
232,c,e_c,0.0992591381072998,0.1631593704223632,0.0863993167877197,0,87.63
233,t,c_t,0.0984134674072265,0.1848127841949463,0.0839807987213134,0,87.63
234,l,t_l,0.164379596710205,0.0659661293029785,0.0714328289031982,1,87.63
235,y,l_y,0.0703523159027099,0.1417851448059082,0.0626099109649658,0,87.63
236,<space>,y_<space>,0.0049223899841308,0.0675323009490966,0.0684399604797363,0,87.63
237,m,<space>_m,0.0877995491027832,0.1562395095825195,0.0591919422149658,0,87.63
238,y,m_y,0.1494038105010986,0.2085957527160644,0.0663578510284423,0,87.63
239,<space>,y_<space>,0.4811642169952392,0.5475220680236816,0.0882210731506347,0,87.63
240,b,<space>_b,0.1741852760314941,0.2624063491821289,0.0710976123809814,0,87.63
241,e,b_e,0.0205914974212646,0.0916891098022461,0.0687909126281738,0,87.63
242,r,e_r,0.0265870094299316,0.0059955120086669,0.0678822994232177,1,87.63
243,o,r_o,0.0366661548614501,0.1045484542846679,0.0497682094573974,0,87.63
244,t,o_t,0.0222253799438476,0.0719935894012451,0.0714499950408935,0,87.63
245,h,t_h,0.0198464393615722,0.0912964344024658,0.0321629047393798,0,87.63
246,e,h_e,0.0495331287384033,0.0816960334777832,0.0588095188140869,0,87.63
247,r,e_r,0.0872676372528076,0.1460771560668945,0.0603466033935546,0,87.63
248,<shift_r>,r_<shift_r>,0.0447978973388671,0.1051445007324218,0.1470096111297607,0,87.63
249,h,START,0.0,0.0,0.0013091564178466,1,98.32
250,e,h_e,0.0592958927154541,0.0606050491333007,0.0650908946990966,0,98.32
251,l,e_l,0.1306500434875488,0.1957409381866455,0.0324647426605224,0,98.32
252,l,l_l,0.0696713924407959,0.1021361351013183,0.0568945407867431,0,98.32
253,o,l_o,0.0789134502410888,0.135807991027832,0.0656664371490478,0,98.32
254,<space>,o_<space>,0.0280776023864746,0.0937440395355224,0.0957517623901367,0,98.32
255,i,<space>_i,0.0086097717285156,0.1043615341186523,0.0462992191314697,0,98.32
256,<space>,i_<space>,0.1087391376495361,0.1550383567810058,0.0495986938476562,0,98.32
257,a,<space>_a,0.0473418235778808,0.0969405174255371,0.0903711318969726,0,98.32
258,m,a_m,0.0984086990356445,0.0510668754577636,0.0536961555480957,1,98.32
259,<space>,m_<space>,0.0773918628692627,0.1310880184173584,0.0514204502105712,0,98.32
260,u,<space>_u,0.2504489421844482,0.3018693923950195,0.0447981357574462,0,98.32
261,s,u_s,0.0235629081726074,0.0683610439300537,0.0875251293182373,0,98.32
262,e,s_e,0.0724461078643798,0.1599712371826172,0.0549554824829101,0,98.32
263,r,e_r,0.0910923480987548,0.146047830581665,0.0619337558746337,0,98.32
264,<space>,r_<space>,0.0342528820037841,0.0961866378784179,0.0453817844390869,0,98.32
265,1,<space>_1,0.0523600578308105,0.0977418422698974,0.0804519653320312,0,98.32
266,<space>,1_<space>,0.1484477519989013,0.2288997173309326,0.068350076675415,0,98.32
267,c,<space>_c,0.0870516300201416,0.1554017066955566,0.0576121807098388,0,98.32
268,a,c_a,0.0739834308624267,0.1315956115722656,0.0735292434692382,0,98.32
269,n,a_n,0.1149804592132568,0.04099702835083,0.0372664928436279,1,98.32
270,<space>,n_<space>,0.0663607120513916,0.1036272048950195,0.0442574024200439,0,98.32
271,y,<space>_y,0.1142811775207519,0.1585385799407959,0.049607515335083,0,98.32
272,o,y_o,0.1158957481384277,0.1655032634735107,0.0671138763427734,0,98.32
273,u,o_u,0.065432071685791,0.1325459480285644,0.048318862915039,0,98.32
274,<space>,u_<space>,0.0975356101989746,0.1458544731140136,0.0469021797180175,0,98.32
275,p,<space>_p,0.1234197616577148,0.1703219413757324,0.0357365608215332,0,98.32
276,r,p_r,0.0150203704833984,0.0507569313049316,0.0596363544464111,0,98.32
277,e,r_e,0.0697357654571533,0.1293721199035644,0.0641961097717285,0,98.32
278,d,e_d,0.0799407958984375,0.144136905670166,0.0795314311981201,0,98.32
279,i,d_i,0.0095388889312744,0.0890703201293945,0.0532946586608886,0,98.32
280,c,i_c,0.040560245513916,0.0938549041748046,0.0707840919494628,0,98.32
281,t,c_t,0.109011173248291,0.1797952651977539,0.0567669868469238,0,98.32
282,<space>,t_<space>,0.0043418407440185,0.0611088275909423,0.0602431297302246,0,98.32
283,w,<space>_w,0.0842947959899902,0.1445379257202148,0.0914325714111328,0,98.32
284,h,w_h,0.1420938968658447,0.0577991008758544,0.045922040939331,1,98.32
285,o,h_o,0.1086852550506591,0.1546072959899902,0.0625271797180175,0,98.32
286,<space>,o_<space>,0.0351486206054687,0.0976758003234863,0.0765211582183837,0,98.32
287,i,<space>_i,0.1072399616241455,0.0720913410186767,0.0413343906402587,1,98.32
288,<space>,i_<space>,0.1117098331451416,0.1530442237854004,0.0599982738494873,0,98.32
289,a,<space>_a,0.0385763645172119,0.0985746383666992,0.0855605602264404,0,98.32
290,m,a_m,0.0911095142364502,0.0525331497192382,0.0610530376434326,1,98.32
291,<space>,m_<space>,0.0696909427642822,0.1307439804077148,0.0468099117279052,0,98.32
292,a,<space>_a,0.1098010540008544,0.1566109657287597,0.0685744285583496,0,98.32
293,c,a_c,0.0951673984527587,0.1637418270111084,0.0544366836547851,0,98.32
294,c,c_c,0.0598347187042236,0.1142714023590087,0.0834238529205322,0,98.32
295,u,c_u,0.1197538375854492,0.0599191188812255,0.040839672088623,1,98.32
296,r,u_r,0.0772688388824462,0.1181085109710693,0.04964280128479,0,98.32
297,a,r_a,0.0901858806610107,0.1398286819458007,0.0626399517059326,0,98.32
298,t,a_t,0.0815691947937011,0.1442091464996338,0.0613229274749755,0,98.32
299,e,t_e,0.0851399898529052,0.1464629173278808,0.0852620601654052,0,98.32
300,l,e_l,0.1510989665985107,0.0659589767456054,0.0756027698516845,1,98.32
301,y,l_y,0.0654311180114746,0.1410338878631591,0.0704753398895263,0,98.32
302,h,START,0.0,0.0,0.0009269714355468,1,97.15
303,e,h_e,0.0142972469329833,0.0152242183685302,0.0778851509094238,0,97.15
304,l,e_l,0.028921365737915,0.1068065166473388,0.0408744812011718,0,97.15
305,l,l_l,0.0749030113220214,0.1157774925231933,0.0597474575042724,0,97.15
306,o,l_o,0.0656964778900146,0.1254439353942871,0.054450511932373,0,97.15
307,<space>,o_<space>,0.0328693389892578,0.0873198509216308,0.0752632617950439,0,97.15
308,i,<space>_i,0.2242915630340576,0.2995548248291015,0.0366060733795166,0,97.15
309,<space>,i_<space>,0.122124433517456,0.1587305068969726,0.0606744289398193,0,97.15
310,a,<space>_a,0.0409286022186279,0.1016030311584472,0.0821726322174072,0,97.15
311,m,a_m,0.0796959400177002,0.0387673377990722,0.0635702610015869,1,97.15
312,<space>,m_<space>,0.0675325393676757,0.1311028003692627,0.0572795867919921,0,97.15
313,u,<space>_u,0.1117391586303711,0.1690187454223632,0.0399162769317626,0,97.15
314,s,u_s,0.022357702255249,0.0622739791870117,0.0762674808502197,0,97.15
315,e,s_e,0.0829970836639404,0.1592645645141601,0.0462667942047119,0,97.15
316,r,e_r,0.0868077278137207,0.1330745220184326,0.0677278041839599,0,97.15
317,<space>,r_<space>,0.0159335136413574,0.0836613178253173,0.0531156063079834,0,97.15
318,1,<space>_1,0.0725977420806884,0.1257133483886718,0.063563585281372,0,97.15
319,<space>,1_<space>,0.2225422859191894,0.2861058712005615,0.0822241306304931,0,97.15
320,p,<space>_p,0.0884089469909668,0.1706330776214599,0.0371983051300048,0,97.15
321,l,p_l,0.0958070755004882,0.1330053806304931,0.0567934513092041,0,97.15
322,e,l_e,0.1415135860443115,0.0457065105438232,0.0627696514129638,1,97.15
323,a,e_a,0.0683405399322509,0.1311101913452148,0.1103274822235107,0,97.15
324,s,a_s,0.1264398097991943,0.0580992698669433,0.0805761814117431,1,97.15
325,e,s_e,0.0801813602447509,0.1607575416564941,0.0725491046905517,0,97.15
326,<space>,e_<space>,0.0402109622955322,0.1127600669860839,0.032909870147705,0,97.15
327,c,<space>_c,0.0594453811645507,0.0923552513122558,0.0844871997833252,0,97.15
328,o,c_o,0.0229449272155761,0.1074321269989013,0.0377912521362304,0,97.15
329,r,o_r,0.0640487670898437,0.1018400192260742,0.0434024333953857,0,97.15
330,r,r_r,0.0872869491577148,0.1306893825531005,0.064058780670166,0,97.15
331,e,r_e,0.0736894607543945,0.1377482414245605,0.0638175010681152,0,97.15
332,c,e_c,0.1009740829467773,0.1647915840148925,0.0749580860137939,0,97.15
333,t,c_t,0.0999002456665039,0.1748583316802978,0.0861592292785644,0,97.15
334,<space>,t_<space>,0.1584694385528564,0.0585691928863525,0.0520341396331787,1,97.15
335,i,<space>_i,0.1289129257202148,0.1809470653533935,0.0362207889556884,0,97.15
336,t,i_t,0.0223207473754882,0.0585415363311767,0.0638127326965332,0,97.15
337,w,START,0.0,0.0,0.0055012702941894,1,84.64
338,e,w_e,0.0752441883087158,0.0807454586029052,0.0751163959503173,0,84.64
339,<space>,e_<space>,0.1413886547088623,0.0661444664001464,0.05940842628479,1,84.64
340,a,<space>_a,0.0317828655242919,0.091191291809082,0.067523717880249,0,84.64
341,r,a_r,0.0826432704925537,0.1501669883728027,0.057201862335205,0,84.64
342,e,r_e,0.0622689723968505,0.1194708347320556,0.109882116317749,0,84.64
343,<space>,e_<space>,0.1309704780578613,0.0687015056610107,0.049290657043457,1,84.64
344,o,<space>_o,0.1489622592926025,0.1982529163360595,0.0506372451782226,0,84.64
345,n,o_n,0.1008992195129394,0.1515364646911621,0.048403263092041,0,84.64
346,e,n_e,0.1036968231201171,0.1521000862121582,0.0775973796844482,0,84.64
347,<space>,e_<space>,0.1096982955932617,0.0060014724731445,0.0792040824890136,1,84.64
348,o,<space>_o,0.1590960025787353,0.238300085067749,0.046907901763916,0,84.64
349,f,o_f,0.0441484451293945,0.0910563468933105,0.0676801204681396,0,84.64
350,<space>,f_<space>,0.028104543685913,0.0957846641540527,0.0225729942321777,0,84.64
351,t,<space>_t,0.0989027023315429,0.1214756965637207,0.0766534805297851,0,84.64
352,h,t_h,0.0078344345092773,0.0844879150390625,0.0485179424285888,0,84.64
353,e,h_e,0.0580034255981445,0.1065213680267334,0.081864595413208,0,84.64
354,<space>,e_<space>,0.1335287094116211,0.0755252838134765,0.0593719482421875,1,84.64
355,b,<space>_b,0.0796296596527099,0.1390016078948974,0.0414724349975585,0,84.64
356,l,b_l,0.3717703819274902,0.4132428169250488,0.0544545650482177,0,84.64
357,e,l_e,0.023003339767456,0.0774579048156738,0.0684652328491211,0,84.64
358,a,e_a,0.0732533931732177,0.1417186260223388,0.0661542415618896,0,84.64
359,d,a_d,0.0407793521881103,0.10693359375,0.0843322277069091,0,84.64
360,i,d_i,0.1064269542694091,0.0656476020812988,0.0421180725097656,1,84.64
361,n,i_n,0.0873875617980957,0.1295056343078613,0.0477359294891357,0,84.64
362,g,n_g,0.0119409561157226,0.0596768856048584,0.0767652988433837,0,84.64
363,<space>,g_<space>,0.0709764957427978,0.0590355396270751,0.0600233078002929,1,84.64
364,s,<space>_s,0.275806188583374,0.335829496383667,0.0743434429168701,0,84.64
365,e,s_e,0.0683612823486328,0.1427047252655029,0.0519189834594726,0,84.64
366,c,e_c,0.0889856815338134,0.1409046649932861,0.0935454368591308,0,84.64
367,u,c_u,0.1642763614654541,0.0752906799316406,0.0598590373992919,1,84.64
368,r,u_r,0.0519859790802001,0.1118450164794921,0.0958805084228515,0,84.64
369,i,r_i,0.1281156539916992,0.076129674911499,0.065279483795166,1,84.64
370,t,i_t,0.0327649116516113,0.0980443954467773,0.0814721584320068,0,84.64
371,y,t_y,0.0740613937377929,0.1555335521697998,0.084367036819458,0,84.64
372,<space>,y_<space>,0.1501533985137939,0.0760920047760009,0.056373119354248,1,84.64
373,e,<space>_e,0.0721967220306396,0.1285698413848877,0.0679693222045898,0,84.64
374,x,e_x,0.0965511798858642,0.1645205020904541,0.0911321640014648,0,84.64
